,,"Note: 233.97602450731048, Velocity: 17, Start Time: 0.0, End Time: 0.49342403628117915","Note: 234.08570237169607, Velocity: 24, Start Time: 0.4992290249433107, End Time: 0.7894784580498866","Note: 261.9707324564319, Velocity: 84, Start Time: 0.7923809523809524, End Time: 1.4889795918367348","Note: 233.87965763313383, Velocity: 19, Start Time: 1.5034920634920634, End Time: 2.249433106575964","Note: 311.48854606919343, Velocity: 54, Start Time: 2.2523356009070294, End Time: 3.0040816326530613","Note: 294.4771840168192, Velocity: 53, Start Time: 3.006984126984127, End Time: 4.484353741496599","Note: 233.96106831337323, Velocity: 19, Start Time: 4.495963718820862, End Time: 4.986485260770975","Note: 234.0513051249359, Velocity: 26, Start Time: 4.992290249433107, End Time: 5.244807256235828","Note: 261.98002415219327, Velocity: 61, Start Time: 5.253514739229025, End Time: 5.98204081632653","Note: 233.8770362821262, Velocity: 19, Start Time: 5.996553287981859, End Time: 6.736689342403628","Note: 349.63405232344945, Velocity: 59, Start Time: 6.757006802721088, End Time: 7.514557823129252","Note: 312.01995184315456, Velocity: 59, Start Time: 7.517460317460317, End Time: 8.989024943310657","Note: 233.96818983516656, Velocity: 19, Start Time: 9.000634920634921, End Time: 9.491156462585034","Note: 234.0266997772108, Velocity: 26, Start Time: 9.496961451247165, End Time: 9.763990929705216","Note: 467.5608679352567, Velocity: 125, Start Time: 9.766893424036281, End Time: 10.489614512471656","Note: 392.52375736062146, Velocity: 34, Start Time: 10.498321995464853, End Time: 11.258775510204082","Note: 311.4922073299045, Velocity: 54, Start Time: 11.261678004535147, End Time: 12.001814058956915","Note: 293.9795139474803, Velocity: 54, Start Time: 12.004716553287983, End Time: 12.73904761904762","Note: 262.03653065931366, Velocity: 51, Start Time: 12.747755102040816, End Time: 13.496598639455783","Note: 416.51794444259383, Velocity: 60, Start Time: 13.499501133786849, End Time: 13.995827664399092","Note: 416.6809822108144, Velocity: 58, Start Time: 13.998730158730158, End Time: 14.245442176870748","Note: 392.7025609136198, Velocity: 49, Start Time: 14.248344671201814, End Time: 15.008798185941043","Note: 311.52432881466876, Velocity: 54, Start Time: 15.011700680272108, End Time: 15.737324263038548","Note: 349.6633135804654, Velocity: 44, Start Time: 15.74312925170068, End Time: 16.512290249433107","Note: 312.0291427868126, Velocity: 59, Start Time: 16.51519274376417, End Time: 18.404716553287983"
,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50
"Note: 233.08188075904488, Velocity: 90, Start Time: 0.0, End Time: 0.5",-2,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47
"Note: 233.08188075904488, Velocity: 90, Start Time: 0.5, End Time: 0.75",-4,-1,2,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44
"Note: 261.6255653005985, Velocity: 90, Start Time: 0.75, End Time: 1.5",-6,-3,0,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41
"Note: 233.08188075904488, Velocity: 90, Start Time: 1.5, End Time: 2.25",-8,-5,-2,1,4,2,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38
"Note: 311.1269837220808, Velocity: 90, Start Time: 2.25, End Time: 3.0",-10,-7,-4,-1,2,5,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35
"Note: 293.66476791740746, Velocity: 90, Start Time: 3.0, End Time: 4.5",-12,-9,-6,-3,0,3,6,4,2,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32
"Note: 233.08188075904488, Velocity: 90, Start Time: 4.5, End Time: 5.0",-14,-11,-8,-5,-2,1,4,7,5,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29
"Note: 233.08188075904488, Velocity: 90, Start Time: 5.0, End Time: 5.25",-16,-13,-10,-7,-4,-1,2,5,8,6,4,2,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26
"Note: 261.6255653005985, Velocity: 90, Start Time: 5.25, End Time: 6.0",-18,-15,-12,-9,-6,-3,0,3,6,9,7,5,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23
"Note: 233.08188075904488, Velocity: 90, Start Time: 6.0, End Time: 6.75",-20,-17,-14,-11,-8,-5,-2,1,4,7,10,8,6,4,2,0,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20
"Note: 349.2282314330038, Velocity: 90, Start Time: 6.75, End Time: 7.5",-22,-19,-16,-13,-10,-7,-4,-1,2,5,8,11,9,7,5,3,1,-1,-3,-5,-7,-9,-11,-13,-15,-17
"Note: 311.1269837220808, Velocity: 90, Start Time: 7.5, End Time: 9.0",-24,-21,-18,-15,-12,-9,-6,-3,0,3,6,9,12,10,8,6,4,2,0,-2,-4,-6,-8,-10,-12,-14
"Note: 233.08188075904488, Velocity: 90, Start Time: 9.0, End Time: 9.5",-26,-23,-20,-17,-14,-11,-8,-5,-2,1,4,7,10,13,11,9,7,5,3,1,-1,-3,-5,-7,-9,-11
"Note: 233.08188075904488, Velocity: 90, Start Time: 9.5, End Time: 9.75",-28,-25,-22,-19,-16,-13,-10,-7,-4,-1,2,5,8,11,14,12,10,8,6,4,2,0,-2,-4,-6,-8
"Note: 466.1637615180899, Velocity: 90, Start Time: 9.75, End Time: 10.5",-30,-27,-24,-21,-18,-15,-12,-9,-6,-3,0,3,6,9,12,15,13,11,9,7,5,3,1,-1,-3,-5
"Note: 391.99543598174927, Velocity: 90, Start Time: 10.5, End Time: 11.25",-32,-29,-26,-23,-20,-17,-14,-11,-8,-5,-2,1,4,7,10,13,16,14,12,10,8,6,4,2,0,-2
"Note: 311.1269837220808, Velocity: 90, Start Time: 11.25, End Time: 12.0",-34,-31,-28,-25,-22,-19,-16,-13,-10,-7,-4,-1,2,5,8,11,14,17,15,13,11,9,7,5,3,1
"Note: 293.66476791740746, Velocity: 90, Start Time: 12.0, End Time: 12.75",-36,-33,-30,-27,-24,-21,-18,-15,-12,-9,-6,-3,0,3,6,9,12,15,18,16,14,12,10,8,6,4
"Note: 261.6255653005985, Velocity: 90, Start Time: 12.75, End Time: 13.5",-38,-35,-32,-29,-26,-23,-20,-17,-14,-11,-8,-5,-2,1,4,7,10,13,16,19,17,15,13,11,9,7
"Note: 415.3046975799451, Velocity: 90, Start Time: 13.5, End Time: 14.0",-40,-37,-34,-31,-28,-25,-22,-19,-16,-13,-10,-7,-4,-1,2,5,8,11,14,17,20,18,16,14,12,10
"Note: 415.3046975799451, Velocity: 90, Start Time: 14.0, End Time: 14.25",-42,-39,-36,-33,-30,-27,-24,-21,-18,-15,-12,-9,-6,-3,0,3,6,9,12,15,18,21,19,17,15,13
"Note: 391.99543598174927, Velocity: 90, Start Time: 14.25, End Time: 15.0",-44,-41,-38,-35,-32,-29,-26,-23,-20,-17,-14,-11,-8,-5,-2,1,4,7,10,13,16,19,22,20,18,16
"Note: 311.1269837220808, Velocity: 90, Start Time: 15.0, End Time: 15.75",-46,-43,-40,-37,-34,-31,-28,-25,-22,-19,-16,-13,-10,-7,-4,-1,2,5,8,11,14,17,20,23,21,19
"Note: 349.2282314330038, Velocity: 90, Start Time: 15.75, End Time: 16.5",-48,-45,-42,-39,-36,-33,-30,-27,-24,-21,-18,-15,-12,-9,-6,-3,0,3,6,9,12,15,18,21,24,22
"Note: 311.1269837220808, Velocity: 90, Start Time: 16.5, End Time: 18.0",-50,-47,-44,-41,-38,-35,-32,-29,-26,-23,-20,-17,-14,-11,-8,-5,-2,1,4,7,10,13,16,19,22,25
